U.S. Imports of Total Gasoline Weekly,
https://www.eia.gov/opendata/qb.php?sdid=PET.WGTIMUS2.W,
20:28:36 GMT-0700 (Pacific Daylight Time),
Source: U.S. Energy Information Administration,
Week of,Series ID: PET.WGTIMUS2.W Thousand Barrels per Day
5/30/1997,564
5/23/1997,705
5/16/1997,705
5/9/1997,657
5/2/1997,705
4/25/1997,521
4/18/1997,480
4/11/1997,468
4/4/1997,884
3/28/1997,430
3/21/1997,668
3/14/1997,736
3/7/1997,693
2/28/1997,634
2/21/1997,418
2/14/1997,455
2/7/1997,545
1/31/1997,376
1/24/1997,468
1/17/1997,438
1/10/1997,401
1/3/1997,588
12/27/1996,367
12/20/1996,353
12/13/1996,434
12/6/1996,466
11/29/1996,309
11/22/1996,270
11/15/1996,481
11/8/1996,278
11/1/1996,632
10/25/1996,490
10/18/1996,390
10/11/1996,382
10/4/1996,526
9/27/1996,685
9/20/1996,582
9/13/1996,259
9/6/1996,385
8/30/1996,631
8/23/1996,544
8/16/1996,321
8/9/1996,268
8/2/1996,567
7/26/1996,295
7/19/1996,397
7/12/1996,370
7/5/1996,382
6/28/1996,464
6/21/1996,585
6/14/1996,504
6/7/1996,441
5/31/1996,255
5/24/1996,612
5/17/1996,465
5/10/1996,530
5/3/1996,270
4/26/1996,603
4/19/1996,506
4/12/1996,603
4/5/1996,365
3/29/1996,298
3/22/1996,331
3/15/1996,561
3/8/1996,364
3/1/1996,483
2/23/1996,248
2/16/1996,448
2/9/1996,459
2/2/1996,631
1/26/1996,310
1/19/1996,575
1/12/1996,462
1/5/1996,285
12/29/1995,292
12/22/1995,364
12/15/1995,225
12/8/1995,357
12/1/1995,263
11/24/1995,204
11/17/1995,480
11/10/1995,324
11/3/1995,146
10/27/1995,319
10/20/1995,304
10/13/1995,377
10/6/1995,408
9/29/1995,273
9/22/1995,331
9/15/1995,162
9/8/1995,349
9/1/1995,415
8/25/1995,200
8/18/1995,374
8/11/1995,168
8/4/1995,293
7/28/1995,477
7/21/1995,419
7/14/1995,314
7/7/1995,327
6/30/1995,313
6/23/1995,508
6/16/1995,485
6/9/1995,330
6/2/1995,313
5/26/1995,340
5/19/1995,612
5/12/1995,435
5/5/1995,264
4/28/1995,335
4/21/1995,354
4/14/1995,173
4/7/1995,249
3/31/1995,331
3/24/1995,347
3/17/1995,346
3/10/1995,445
3/3/1995,182
2/24/1995,284
2/17/1995,236
2/10/1995,291
2/3/1995,109
1/27/1995,186
1/20/1995,178
1/13/1995,274
1/6/1995,110
12/30/1994,284
12/23/1994,285
12/16/1994,248
12/9/1994,368
12/2/1994,176
11/25/1994,170
11/18/1994,588
11/11/1994,220
11/4/1994,331
10/28/1994,160
10/21/1994,321
10/14/1994,280
